recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients
47,Fruits and vegetables,"Redmere Farms Garlic 4 Pack, £0.95 each",1 garlic clove,1,£0.95,1 clove,garlic,garlic
47,Fruits and vegetables,"Tesco Fresh Cut Curled Parsley 30G, £0.60 each",10g fresh parsley,1,£0.60,10g,fresh parsley,parsley
48,Fruits and vegetables,"Tesco Aubergine Each, £0.85 each",2 aubergines,2,£1.70,2,aubergines,aubergines
48,Fruits and vegetables,"Tesco Organic Baby Spinach 100G, £1.35 each",100g baby spinach,1,£1.35,100g,baby spinach,baby spinach
48,Fruits and vegetables,"Tesco Fresh Cut Coriander 30G, £0.52 each",32.22g coriander,2,£1.04,32.22g,coriander,coriander
48,Fruits and vegetables,"Loose Brown Onions 0.12kg, £0.12 / 0.12kg",1 onion,0.12,£0.12,1,onion,onion
49,Fruits and vegetables,"T.Ready To Eat Large Avocados Each, £0.89 each",1 avocado,1,£0.89,1,avocado,avocado
49,Fruits and vegetables,"Tesco Organic Baby Spinach 100G, £1.35 each",50g baby spinach,1,£1.35,50g,baby spinach,baby spinach
49,Fruits and vegetables,"Tesco Fresh Cut Coriander 30G, £0.52 each",10g fresh coriander,1,£0.52,10g,fresh coriander,coriander
49,Fruits and vegetables,"Loose Brown Onions 0.12kg, £0.12 / 0.12kg",1 onion,0.12,£0.12,1,onion,onion
49,Fruits and vegetables,"Tesco Organic Pepper 250G, £1.60 each",0.5 red pepper,1,£1.60,0.5,red pepper,pepper
50,Fruits and vegetables,"Tesco Bay Leaves 3G, £0.90 each",1 bay leaf,1,£0.90,1,bay leaf,bay leaf
50,Fruits and vegetables,"Loose Brown Onions 0.12kg, £0.12 / 0.12kg",800g onions,0.84,£0.84,800g,onions,onion
50,Fruits and vegetables,"Tesco Thyme 20G, £0.52 each",10g thyme sprigs,1,£0.52,10g,thyme,thyme
51,Fruits and vegetables,"Iceberg Lettuce Each, £0.70 each",1 iceberg lettuce,1,£0.70,1,iceberg lettuce,lettuce
52,Fruits and vegetables,"Tesco Fresh Cut Coriander 30G, £0.52 each",15g fresh coriander,1,£0.52,15g,fresh coriander,coriander
52,Fruits and vegetables,"Suntrail Lemons Minimum 4 Pack, £0.55 each",0.5 lemon,1,£0.55,0.5,lemon,lemon
52,Fruits and vegetables,"Loose Red Onions Class 2 0.21kg, £0.21 / 0.21kg",2 red onions,0.21,£0.21,2,red onions,onion
